"id_plot","species","ba","dist","alt_dif","sppt","reg_ilex","reg_fag","spp3","spp12","utm_x","utm_y","twi","land_use"
27,"q_ilex",38.9605,393.285225702011,81.6059594120086,0.00321258571671144,4,2,0.000546577406087001,0.00266600831062444,484467,4538272,4.629248962,"A"
28,"q_ilex",25.7871,411.041039435766,71.6151874912482,0.00189390976963716,1,0,0.000240646610011877,0.00165326315962528,484527,4538272,4.726060305,"A"
29,"q_ilex",12.2531,415.437424982642,54.0891122496964,0.000665387304078232,1,0,3.84571186604326e-05,0.000626930185417799,484587,4538272,4.285995197,"A"
30,"q_ilex",6.6585,424.639587564689,29.1646449532119,0.000354088497341787,0,0,0,0.000354088497341787,484647,4538272,5.083125916,"M"
31,"q_ilex",3.2934,411.929074028902,-4.90058601217341,0.000182934675862768,1,0,0,0.000182934675862768,484707,4538272,5.648537407,"M"
32,"q_ilex",2.2565,413.703370224074,-24.9720146762778,0.000117370224004443,7,0,0,0.000117370224004443,484767,4538272,5.101229448,"M"
33,"q_ilex",1.6005,424.863061343421,-12.6508843413026,7.67463943976453e-05,5,2,0,7.67463943976453e-05,484827,4538272,5.391628971,"M"
34,"q_ilex",66.7001,350.89752022979,54.1545683473914,0.00516763403444397,13,0,0.00141534131152111,0.0037915762432144,484347,4538212,4.61385519,"M"
35,"q_ilex",58.4159,372.033935044027,68.6940391325892,0.0039150059718535,1,0,0.00106190575250483,0.00288486239391007,484407,4538212,4.961015043,"A"
36,"q_ilex",43.7057,391.899374565143,70.7676034786858,0.00256808927476987,5,0,0.000651205348233629,0.00191688392653624,484467,4538212,4.361684036,"A"
37,"q_ilex",29.7996,412.162767742856,53.7262652467995,0.00163166246482717,16,0,0.000313018272027237,0.00131864419279994,484527,4538212,5.994799929,"A"
38,"q_ilex",14.5599,419.947573860275,40.5392439166142,0.000779130607109041,8,0,4.9568397265999e-05,0.000729562209843041,484587,4538212,4.668449726,"A"
39,"q_ilex",6.9162,422.002568138935,17.4672665061662,0.000390007090298928,8,0,0,0.000390007090298928,484647,4538212,4.965509195,"M"
40,"q_ilex",3.5238,407.468949161622,-14.2058097309568,0.000209764935267592,5,0,0,0.000209764935267592,484707,4538212,5.034610386,"M"
41,"q_ilex",2.4863,404.133147921368,-15.5714385428974,0.000138230344870098,6,2,0,0.000138230344870098,484767,4538212,4.942384281,"M"
42,"q_ilex",1.8613,414.285600332143,-0.622436612023809,9.38162874363572e-05,1,1,0,9.38162874363572e-05,484827,4538212,5.233710365,"M"
44,"q_ilex",68.7773,341.604227269688,55.638646728804,0.00528096941163967,10,4,0.00155386632808493,0.00376285630052144,484347,4538152,4.332840595,"A"
45,"q_ilex",59.0978,365.1378788131,58.2334171462148,0.00381635712819716,12,0,0.00107577348332096,0.00277008903004575,484407,4538152,4.418365498,"A"
46,"q_ilex",45.7274,388.625360757001,53.5349369109845,0.00265980223994885,2,1,0.000672419141985671,0.00198738309796318,484467,4538152,4.588866472,"A"
47,"q_ilex",32.2525,413.420867653318,39.7493552686497,0.00176662735650912,7,2,0.000321196093864688,0.00144543126264444,484527,4538152,3.912537727,"M"
48,"q_ilex",16.4288,418.712751454768,23.7660668369563,0.000907880074815978,3,0,7.7697210301573e-05,0.000830182864514405,484587,4538152,4.992023563,"A"
49,"q_ilex",7.519,419.584876101857,-2.5848393685381,0.000497022046172985,6,0,0,0.000497022046172985,484647,4538152,5.986066246,"A"
50,"q_ilex",3.9526,407.259232515207,-18.8841911833272,0.000262950367222985,2,0,0,0.000262950367222985,484707,4538152,4.005764246,"M"
51,"q_ilex",2.9236,400.450686578571,-14.4638929277571,0.000174643951394795,6,3,0,0.000174643951394795,484767,4538152,4.610514984,"M"
52,"q_ilex",2.1031,403.246348727723,-2.84592895274257,0.000116656834863248,12,2,0,0.000116656834863248,484827,4538152,4.619715872,"M"
54,"q_ilex",60.4501,359.082077886059,40.9588118250833,0.00397888187515332,5,5,0.00107321677989574,0.00290566509525758,484407,4538092,4.832380037,"A"
55,"q_ilex",49.522,387.898667041757,32.2487924194668,0.00299148291760377,9,0,0.000701080034794547,0.00229040288280922,484467,4538092,5.086028175,"A"
56,"q_ilex",34.1328,411.809478649732,23.3132911286326,0.002090197167597,17,0,0.000356787593733039,0.00173340957386396,484527,4538092,5.005853176,"A"
57,"q_ilex",17.6641,419.006457684698,3.65092217260261,0.00109443432918467,7,4,7.93760654758512e-05,0.00101505826370882,484587,4538092,3.628190432,"A"
58,"q_ilex",8.7365,420.847725792656,-3.47635399354149,0.000625168813529325,7,0,0,0.000625168813529325,484647,4538092,4.943268228,"A"
59,"q_ilex",4.1486,394.877248515628,-17.4711227370519,0.00031340050177188,10,2,0,0.00031340050177188,484707,4538092,4.404579315,"M"
60,"q_ilex",3.05,382.496177130844,-26.4328651532468,0.000212567911781856,5,0,0,0.000212567911781856,484767,4538092,7.461274109,"M"
61,"q_ilex",2.5336,393.281822653968,-15.0021760378571,0.000154107202282373,3,0,0,0.000154107202282373,484827,4538092,5.28312789,"M"
62,"q_ilex",1.9136,404.285396529293,-6.13756832936364,0.000105313203637874,5,1,0,0.000105313203637874,484887,4538092,4.923833733,"M"
65,"q_ilex",35.2379,408.789739990338,6.21305479426582,0.00722466186888718,10,0,0.000365563915639052,0.00685909795324813,484527,4538032,4.463499336,"M"
66,"q_ilex",19.7407,417.003555697103,6.45400310812704,0.00228375937835904,5,0,0.000109061258610202,0.00217469811974884,484587,4538032,4.649858804,"A"
67,"q_ilex",9.5573,417.500356656232,5.82115052453309,0.000678318318721059,3,0,0,0.000678318318721059,484647,4538032,5.111591358,"A"
68,"q_ilex",4.8805,391.106402835851,-0.357015290124113,0.000403771010694698,6,0,0,0.000403771010694698,484707,4538032,5.28224453,"A"
69,"q_ilex",3.5563,377.603884790513,-8.18345428770257,0.000337709667771334,5,2,0,0.000337709667771334,484767,4538032,4.871879578,"M"
70,"q_ilex",2.9783,386.804829276667,-14.4648114293457,0.00020480030879052,2,0,0,0.00020480030879052,484827,4538032,6.429294605,"M"
71,"q_ilex",2.4186,393.080393895238,-13.8101022841825,0.00014251875048358,1,0,0,0.00014251875048358,484887,4538032,6.497630701,"M"
72,"q_ilex",1.7121,400.295527995876,-9.63398516313402,9.43393426169441e-05,3,0,0,9.43393426169441e-05,484947,4538032,5.613078871,"M"
73,"q_ilex",65.553,364.978198973345,0.570326616036873,0.00702445777391043,2,0,0.00103156075566008,0.00599289701825035,484407,4537972,7.033175268,"M"
74,"q_ilex",52.2302,391.755548921275,16.6291356239518,0.00372542980157199,10,0,0.000661113501252519,0.00306431630031947,484467,4537972,5.132092934,"A"
75,"q_ilex",34.6578,406.811447615273,22.9047640601146,0.00228845219287082,7,1,0.000285096126149175,0.00200335606672164,484527,4537972,4.515644436,"A"
76,"q_ilex",22.1593,416.034616267026,15.8066981939971,0.00156432220944926,5,0,0.000132807871430447,0.00143151433801882,484587,4537972,7.040044689,"A"
77,"q_ilex",10.9139,400.725241310543,16.0246084473967,0.000874602664335355,5,1,4.92504704291133e-05,0.000825352193906242,484647,4537972,5.175866652,"A"
78,"q_ilex",5.9117,379.603179526287,13.783430876009,0.000665454540023633,1,0,0,0.000665454540023633,484707,4537972,5.074064999,"A"
79,"q_ilex",4.4102,369.351616509183,12.1226376968797,0.000986675370384554,6,0,0,0.000986675370384554,484767,4537972,4.999222355,"M"
80,"q_ilex",3.522,374.172982612245,3.40755289739286,0.000265232593222209,2,0,0,0.000265232593222209,484827,4537972,5.840977459,"M"
81,"q_ilex",2.869,380.666644953503,1.7309272544586,0.000183670719774132,6,1,0,0.000183670719774132,484887,4537972,6.081714592,"M"
82,"q_ilex",2.0883,390.564915669048,3.09095420392064,0.000125114703063604,15,4,0,0.000125114703063604,484947,4537972,5.440572481,"M"
83,"q_ilex",52.0839,389.425925562066,32.4889340727777,0.00376378852796611,17,2,0.000660918028318649,0.00310287049964747,484467,4537912,5.160590315,"A"
84,"q_ilex",33.4352,400.194192304226,37.1742030342636,0.00215566968693886,8,2,0.000260307757905689,0.00189536192903317,484527,4537912,4.904203725,"A"
85,"q_ilex",19.79,399.848545634016,31.7838317029475,0.00143944378369364,5,0,9.45540116859783e-05,0.00134488977200766,484587,4537912,6.062535038,"A"
86,"q_ilex",13,391.739917056327,27.5420297774118,0.000987170166860763,3,2,5.74520929163254e-05,0.000929718073944438,484647,4537912,5.810102348,"A"
87,"q_ilex",8.5471,377.569015743886,30.5469685733815,0.000688207045810404,10,3,3.41287192537402e-05,0.000654078326556664,484707,4537912,5.044889917,"A"
88,"q_ilex",5.4393,366.281083740891,28.8678507415215,0.000480157451008237,4,0,0,0.000480157451008237,484767,4537912,4.628961849,"M"
89,"q_ilex",4.2759,361.603316511288,22.6151632566481,0.000332501753451167,10,0,0,0.000332501753451167,484827,4537912,5.33721446,"M"
90,"q_ilex",3.366,370.860863258247,17.0101663163918,0.000235508270474357,10,3,0,0.000235508270474357,484887,4537912,5.392027569,"M"
91,"q_ilex",2.4569,374.038829132667,13.9473721810467,0.000165575894824735,9,0,0,0.000165575894824735,484947,4537912,5.316689024,"M"
